Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
831	42186	14-3-3epsilon	CG31196 gene product from transcript CG31196-RA	Drosophila melanogaster		FBgn0020238		14-3-3 14-3-3 epsilon 14-3-3-e 14-3-3-epsilon 14-3	increase	Loss of 14-3-3e results in increased stress-induced apoptosis, growth repression and extended lifespan of flies, in a dFoxO dependent manner. Increased expression of 14-3-3e also reverts FoxO-induced growth defects. No effect on lifespan was observed when overexpressing 14-3-3e in adipose tissue, suggesting that endogenous FoxO activity in this tissue is low under normal conditions. 	anti		49	Mutations	
2089	40575	5-HT2A	5-hydroxytryptamine (serotonin) receptor 2A	Drosophila melanogaster					increase	Flies were subjected to several control diets: sucrose only, yeast only and fixed diet. Flies were also subjected to a choice diet. When 5-HT2A mutant animals were aged in a choice environment there was a 90% increase in mean lifespan.	anti		90	Deletion	
2084	38342	AhcyL1	Adenosylhomocysteinase like 1	Drosophila melanogaster					increase	Downregulation of two out of three of Drosophila homologs of AHCY significantly extended life span in adult males and females, median lifespan was 13% higher when CG9977 was downregulated. Brain and intestine specific downregulation of CG9977 resulted in increased lifespan and health span. 	anti		13	RNA interference	
2085	42043	AhcyL2	Adenosylhomocysteinase like 2	Drosophila melanogaster					increase	Downregulation of two out of three of Drosophila homologs of AHCY significantly extended life span in adult males and females, median lifespan was 21% higher when Ahcy89E was downregulated. Intestine specific downregulation of Ahcy89E resulted in increased lifespan and health span. 	anti		21	RNA interference	
832	41957	Akt1	CG4006 gene product from transcript CG4006-RA	Drosophila melanogaster		FBgn0010379		akt Akt AKT Akt/PKB AKT/PKB akt1 AKT1 Akt1|PKB CG4	decrease	RNA interference of Akt in intestinal stem cells, results in impaired regeneration of theintestinal epithelium and are shorten lifespan.	pro		11	RNA interference	
833	31957	alpha-Man-I	Alpha Mannosidase I	Drosophila melanogaster		FBgn0259170		alpha-Man-l CG17809 CG18799 CG32682 CG32684 CG4227	increase	Mutant flies showed enhanced resistance to paraquat and starvation and a 60% increase in mean lifespan for both sexes. After outcrossing, the mutant showed, under normal conditions, an increase in mean lifespan of 22% for females and 38% for males . The increase in maximum lifespan was 15%. RNAi knock-downs resulted in a 39% increase in mean lifespan.	anti	15	39	RNA interference, Mutations	
1908	39454	Atg1	Autophagy-specific gene 1	Drosophila melanogaster					increase	Adult-onset, neuronal-specific upregulation of Atg1 results in increased median and maximum lifespan in female flies.	pro		25	Overexpression	
834	38344	Atg2	Autophagy-specific gene 2	Drosophila melanogaster		FBgn0044452		atg2 ATG2 CG1241 Dmel\CG1241 EP3697	increase	Overexpression of Atg2 increased average female lifespan.	pro		28	Overexpression	
21	37141	Atg7	Autophagy-specific gene 7	Drosophila melanogaster	Dm.5217	FBgn0034366		atg-7 atg7 CG5489 Dmel\CG5489	decrease	Knockouts are short-lived and hypersensitive to nutrient and oxidative stress. There is a 30% reduction in maximal lifespan. 	pro	30		Knockout	
21	37141	Atg7	Autophagy-specific gene 7	Drosophila melanogaster	Dm.5217	FBgn0034366		atg-7 atg7 CG5489 Dmel\CG5489	decrease	Mutants are hypersensitive to oxidative stress and short lived.	pro			Mutation	
22	32001	Atg8a	Autophagy-related 8a	Drosophila melanogaster	Dm.20907	FBgn0052672		atg8 Atg8 Atg8/LC3 atg8a Atg8A ATG8a BcDNA:LD05816	increase	Mutations resulted in reduced lifespan and increased sensitivity to oxidative stress while enhanced expression in older fly brains extended average adult lifespan by 56% and promoted resistance to oxidative stress.	pro		56	Overexpression	
22	32001	Atg8a	Autophagy-related 8a	Drosophila melanogaster	Dm.20907	FBgn0052672		atg8 Atg8 Atg8/LC3 atg8a Atg8A ATG8a BcDNA:LD05816	increase	Increases the resistance to oxidative stress and extends the average lifespan up to 56%.	pro		50	Overexpression	
22	32001	Atg8a	Autophagy-related 8a	Drosophila melanogaster	Dm.20907	FBgn0052672		atg8 Atg8 Atg8/LC3 atg8a Atg8A ATG8a BcDNA:LD05816	decrease	15% maximum lifespan reduction at 25 C, 20% maximum lifespan reduction at 29 C.	pro	20		Mutation	
2105	36760	ATPCL	ATP citrate lyase	Drosophila melanogaster					increase	Reduced ATPCL activity extended male fly lifepsan by 32%.	anti		32	Mutation	
