pathway_id	subcategory	category
00010	Carbohydrate metabolism	Metabolism
00020	Carbohydrate metabolism	Metabolism
00030	Carbohydrate metabolism	Metabolism
00040	Carbohydrate metabolism	Metabolism
00051	Carbohydrate metabolism	Metabolism
00052	Carbohydrate metabolism	Metabolism
00053	Carbohydrate metabolism	Metabolism
00061	Lipid metabolism	Metabolism
00062	Lipid metabolism	Metabolism
00071	Lipid metabolism	Metabolism
00073	Lipid metabolism	Metabolism
00074	Lipid metabolism	Metabolism
00100	Lipid metabolism	Metabolism
00120	Lipid metabolism	Metabolism
00121	Lipid metabolism	Metabolism
00130	Metabolism of cofactors and vitamins	Metabolism
00140	Lipid metabolism	Metabolism
00190	Energy metabolism	Metabolism
00195	Energy metabolism	Metabolism
00196	Energy metabolism	Metabolism
00220	Amino acid metabolism	Metabolism
00230	Nucleotide metabolism	Metabolism
00232	Biosynthesis of other secondary metabolites	Metabolism
00240	Nucleotide metabolism	Metabolism
00250	Amino acid metabolism	Metabolism
00253	Metabolism of terpenoids and polyketides	Metabolism
00254	Biosynthesis of other secondary metabolites	Metabolism
00260	Amino acid metabolism	Metabolism
00261	Biosynthesis of other secondary metabolites	Metabolism
00270	Amino acid metabolism	Metabolism
00280	Amino acid metabolism	Metabolism
00290	Amino acid metabolism	Metabolism
00300	Amino acid metabolism	Metabolism
00310	Amino acid metabolism	Metabolism
00311	Biosynthesis of other secondary metabolites	Metabolism
00330	Amino acid metabolism	Metabolism
00331	Biosynthesis of other secondary metabolites	Metabolism
00332	Biosynthesis of other secondary metabolites	Metabolism
00333	Biosynthesis of other secondary metabolites	Metabolism
00334	Amino acid metabolism	Metabolism
00340	Amino acid metabolism	Metabolism
00350	Amino acid metabolism	Metabolism
00360	Amino acid metabolism	Metabolism
00361	Xenobiotics biodegradation and metabolism	Metabolism
00362	Xenobiotics biodegradation and metabolism	Metabolism
00363	Xenobiotics biodegradation and metabolism	Metabolism
00364	Xenobiotics biodegradation and metabolism	Metabolism
00365	Xenobiotics biodegradation and metabolism	Metabolism
00380	Amino acid metabolism	Metabolism
00400	Amino acid metabolism	Metabolism
00401	Biosynthesis of other secondary metabolites	Metabolism
00402	Biosynthesis of other secondary metabolites	Metabolism
00403	Biosynthesis of other secondary metabolites	Metabolism
00404	Biosynthesis of other secondary metabolites	Metabolism
00405	Biosynthesis of other secondary metabolites	Metabolism
00410	Metabolism of other amino acids	Metabolism
00430	Metabolism of other amino acids	Metabolism
00440	Metabolism of other amino acids	Metabolism
00450	Metabolism of other amino acids	Metabolism
00460	Metabolism of other amino acids	Metabolism
00470	Metabolism of other amino acids	Metabolism
00480	Metabolism of other amino acids	Metabolism
00500	Carbohydrate metabolism	Metabolism
00510	Glycan biosynthesis and metabolism	Metabolism
00511	Glycan biosynthesis and metabolism	Metabolism
00512	Glycan biosynthesis and metabolism	Metabolism
00513	Glycan biosynthesis and metabolism	Metabolism
00514	Glycan biosynthesis and metabolism	Metabolism
00515	Glycan biosynthesis and metabolism	Metabolism
00520	Glycan biosynthesis and metabolism	Metabolism
00521	Biosynthesis of other secondary metabolites	Metabolism
00522	Metabolism of terpenoids and polyketides	Metabolism
00523	Metabolism of terpenoids and polyketides	Metabolism
00524	Biosynthesis of other secondary metabolites	Metabolism
00525	Biosynthesis of other secondary metabolites	Metabolism
00531	Glycan biosynthesis and metabolism	Metabolism
00532	Glycan biosynthesis and metabolism	Metabolism
00533	Glycan biosynthesis and metabolism	Metabolism
00534	Glycan biosynthesis and metabolism	Metabolism
00540	Glycan biosynthesis and metabolism	Metabolism
00541	Glycan biosynthesis and metabolism	Metabolism
00542	Glycan biosynthesis and metabolism	Metabolism
00543	Glycan biosynthesis and metabolism	Metabolism
00550	Glycan biosynthesis and metabolism	Metabolism
00552	Glycan biosynthesis and metabolism	Metabolism
00561	Lipid metabolism	Metabolism
00562	Carbohydrate metabolism	Metabolism
00563	Glycan biosynthesis and metabolism	Metabolism
00564	Lipid metabolism	Metabolism
00565	Lipid metabolism	Metabolism
00571	Glycan biosynthesis and metabolism	Metabolism
00572	Glycan biosynthesis and metabolism	Metabolism
00590	Lipid metabolism	Metabolism
00591	Lipid metabolism	Metabolism
00592	Lipid metabolism	Metabolism
00600	Lipid metabolism	Metabolism
00601	Glycan biosynthesis and metabolism	Metabolism
00603	Glycan biosynthesis and metabolism	Metabolism
00604	Glycan biosynthesis and metabolism	Metabolism
00620	Carbohydrate metabolism	Metabolism
00621	Xenobiotics biodegradation and metabolism	Metabolism
00622	Xenobiotics biodegradation and metabolism	Metabolism
00623	Xenobiotics biodegradation and metabolism	Metabolism
00624	Xenobiotics biodegradation and metabolism	Metabolism
00625	Xenobiotics biodegradation and metabolism	Metabolism
00626	Xenobiotics biodegradation and metabolism	Metabolism
00627	Xenobiotics biodegradation and metabolism	Metabolism
00630	Carbohydrate metabolism	Metabolism
00633	Xenobiotics biodegradation and metabolism	Metabolism
00640	Carbohydrate metabolism	Metabolism
00642	Xenobiotics biodegradation and metabolism	Metabolism
00643	Xenobiotics biodegradation and metabolism	Metabolism
00650	Carbohydrate metabolism	Metabolism
00660	Carbohydrate metabolism	Metabolism
00670	Metabolism of cofactors and vitamins	Metabolism
00680	Energy metabolism	Metabolism
00710	Energy metabolism	Metabolism
00720	Energy metabolism	Metabolism
00730	Metabolism of cofactors and vitamins	Metabolism
00740	Metabolism of cofactors and vitamins	Metabolism
00750	Metabolism of cofactors and vitamins	Metabolism
00760	Metabolism of cofactors and vitamins	Metabolism
00770	Metabolism of cofactors and vitamins	Metabolism
00780	Metabolism of cofactors and vitamins	Metabolism
00785	Metabolism of cofactors and vitamins	Metabolism
00790	Metabolism of cofactors and vitamins	Metabolism
00791	Xenobiotics biodegradation and metabolism	Metabolism
00830	Metabolism of cofactors and vitamins	Metabolism
00860	Metabolism of cofactors and vitamins	Metabolism
00900	Metabolism of terpenoids and polyketides	Metabolism
00901	Biosynthesis of other secondary metabolites	Metabolism
00902	Metabolism of terpenoids and polyketides	Metabolism
00903	Metabolism of terpenoids and polyketides	Metabolism
00904	Metabolism of terpenoids and polyketides	Metabolism
00905	Metabolism of terpenoids and polyketides	Metabolism
00906	Metabolism of terpenoids and polyketides	Metabolism
00907	Metabolism of terpenoids and polyketides	Metabolism
00908	Metabolism of terpenoids and polyketides	Metabolism
00909	Metabolism of terpenoids and polyketides	Metabolism
00910	Energy metabolism	Metabolism
00920	Energy metabolism	Metabolism
00930	Xenobiotics biodegradation and metabolism	Metabolism
00940	Biosynthesis of other secondary metabolites	Metabolism
00941	Biosynthesis of other secondary metabolites	Metabolism
00942	Biosynthesis of other secondary metabolites	Metabolism
00943	Biosynthesis of other secondary metabolites	Metabolism
00944	Biosynthesis of other secondary metabolites	Metabolism
00945	Biosynthesis of other secondary metabolites	Metabolism
00946	Biosynthesis of other secondary metabolites	Metabolism
00950	Biosynthesis of other secondary metabolites	Metabolism
00960	Biosynthesis of other secondary metabolites	Metabolism
00965	Biosynthesis of other secondary metabolites	Metabolism
00966	Biosynthesis of other secondary metabolites	Metabolism
00970	Translation	Genetic Information Processing
00980	Xenobiotics biodegradation and metabolism	Metabolism
00981	Metabolism of terpenoids and polyketides	Metabolism
00982	Xenobiotics biodegradation and metabolism	Metabolism
00983	Xenobiotics biodegradation and metabolism	Metabolism
00984	Xenobiotics biodegradation and metabolism	Metabolism
00996	Biosynthesis of other secondary metabolites	Metabolism
00997	Biosynthesis of other secondary metabolites	Metabolism
00998	Biosynthesis of other secondary metabolites	Metabolism
00999	Biosynthesis of other secondary metabolites	Metabolism
01010	Chemical structure transformation maps	Metabolism
01040	Lipid metabolism	Metabolism
01051	Metabolism of terpenoids and polyketides	Metabolism
01052	Metabolism of terpenoids and polyketides	Metabolism
01053	Metabolism of terpenoids and polyketides	Metabolism
01054	Metabolism of terpenoids and polyketides	Metabolism
01055	Metabolism of terpenoids and polyketides	Metabolism
01056	Metabolism of terpenoids and polyketides	Metabolism
01057	Metabolism of terpenoids and polyketides	Metabolism
01059	Metabolism of terpenoids and polyketides	Metabolism
01060	Chemical structure transformation maps	Metabolism
01061	Chemical structure transformation maps	Metabolism
01062	Chemical structure transformation maps	Metabolism
01063	Chemical structure transformation maps	Metabolism
01064	Chemical structure transformation maps	Metabolism
01065	Chemical structure transformation maps	Metabolism
01066	Chemical structure transformation maps	Metabolism
01070	Chemical structure transformation maps	Metabolism
01100	Global and overview maps	Metabolism
01110	Global and overview maps	Metabolism
01120	Global and overview maps	Metabolism
01200	Global and overview maps	Metabolism
01210	Global and overview maps	Metabolism
01212	Global and overview maps	Metabolism
01220	Global and overview maps	Metabolism
01230	Global and overview maps	Metabolism
01232	Global and overview maps	Metabolism
01240	Global and overview maps	Metabolism
01250	Global and overview maps	Metabolism
01310	Global and overview maps	Metabolism
01320	Global and overview maps	Metabolism
02010	Membrane transport	Environmental Information Processing
02020	Signal transduction	Environmental Information Processing
02024	Cellular community - prokaryotes	Cellular Processes
02025	Cellular community - prokaryotes	Cellular Processes
02026	Cellular community - prokaryotes	Cellular Processes
02030	Cell motility	Cellular Processes
02040	Cell motility	Cellular Processes
02060	Membrane transport	Environmental Information Processing
03008	Translation	Genetic Information Processing
03010	Translation	Genetic Information Processing
03013	Translation	Genetic Information Processing
03015	Translation	Genetic Information Processing
03018	Folding, sorting and degradation	Genetic Information Processing
03020	Transcription	Genetic Information Processing
03022	Transcription	Genetic Information Processing
03030	Replication and repair	Genetic Information Processing
03040	Transcription	Genetic Information Processing
03050	Folding, sorting and degradation	Genetic Information Processing
03060	Folding, sorting and degradation	Genetic Information Processing
03070	Membrane transport	Environmental Information Processing
03082	Chromosome	Genetic Information Processing
03083	Chromosome	Genetic Information Processing
03230	Information processing in viruses	Genetic Information Processing
03240	Information processing in viruses	Genetic Information Processing
03250	Information processing in viruses	Genetic Information Processing
03258	Information processing in viruses	Genetic Information Processing
03259	Information processing in viruses	Genetic Information Processing
03260	Information processing in viruses	Genetic Information Processing
03261	Information processing in viruses	Genetic Information Processing
03262	Information processing in viruses	Genetic Information Processing
03263	Information processing in viruses	Genetic Information Processing
03264	Information processing in viruses	Genetic Information Processing
03265	Information processing in viruses	Genetic Information Processing
03266	Information processing in viruses	Genetic Information Processing
03267	Information processing in viruses	Genetic Information Processing
03268	Information processing in viruses	Genetic Information Processing
03271	Information processing in viruses	Genetic Information Processing
03272	Information processing in viruses	Genetic Information Processing
03273	Information processing in viruses	Genetic Information Processing
03410	Replication and repair	Genetic Information Processing
03420	Replication and repair	Genetic Information Processing
03430	Replication and repair	Genetic Information Processing
03440	Replication and repair	Genetic Information Processing
03450	Replication and repair	Genetic Information Processing
03460	Replication and repair	Genetic Information Processing
04010	Signal transduction	Environmental Information Processing
04011	Signal transduction	Environmental Information Processing
04012	Signal transduction	Environmental Information Processing
04013	Signal transduction	Environmental Information Processing
04014	Signal transduction	Environmental Information Processing
04015	Signal transduction	Environmental Information Processing
04016	Signal transduction	Environmental Information Processing
04020	Signal transduction	Environmental Information Processing
04022	Signal transduction	Environmental Information Processing
04024	Signal transduction	Environmental Information Processing
04060	Signaling molecules and interaction	Environmental Information Processing
04061	Signaling molecules and interaction	Environmental Information Processing
04062	Immune system	Organismal Systems
04064	Signal transduction	Environmental Information Processing
04066	Signal transduction	Environmental Information Processing
04068	Signal transduction	Environmental Information Processing
04070	Signal transduction	Environmental Information Processing
04071	Signal transduction	Environmental Information Processing
04072	Signal transduction	Environmental Information Processing
04075	Signal transduction	Environmental Information Processing
04080	Signaling molecules and interaction	Environmental Information Processing
04081	Signaling molecules and interaction	Environmental Information Processing
04082	Signaling molecules and interaction	Environmental Information Processing
04110	Cell growth and death	Cellular Processes
04111	Cell growth and death	Cellular Processes
04112	Cell growth and death	Cellular Processes
04113	Cell growth and death	Cellular Processes
04114	Cell growth and death	Cellular Processes
04115	Cell growth and death	Cellular Processes
04120	Folding, sorting and degradation	Genetic Information Processing
04122	Folding, sorting and degradation	Genetic Information Processing
04130	Folding, sorting and degradation	Genetic Information Processing
04136	Transport and catabolism	Cellular Processes
04137	Transport and catabolism	Cellular Processes
04138	Transport and catabolism	Cellular Processes
04139	Transport and catabolism	Cellular Processes
04140	Transport and catabolism	Cellular Processes
04141	Folding, sorting and degradation	Genetic Information Processing
04142	Transport and catabolism	Cellular Processes
04144	Transport and catabolism	Cellular Processes
04145	Transport and catabolism	Cellular Processes
04146	Transport and catabolism	Cellular Processes
04148	Transport and catabolism	Cellular Processes
04150	Signal transduction	Environmental Information Processing
04151	Signal transduction	Environmental Information Processing
04152	Signal transduction	Environmental Information Processing
04210	Cell growth and death	Cellular Processes
04211	Aging	Organismal Systems
04212	Aging	Organismal Systems
04213	Aging	Organismal Systems
04214	Cell growth and death	Cellular Processes
04215	Cell growth and death	Cellular Processes
