Host	Host_lineage	Symbiont	Symbiont_lineage	Distribution	Transmission	Reference
Zootermopsis angusticollis		Wolbachia				Lo et al., 2002, How many Wolbachia supergroups exist?
Zootermopsis nevadensis		Wolbachia				Lo et al., 2002, How many Wolbachia supergroups exist?
Microcerotermes sp.		Wolbachia				Casiraghi et al., 2005, Phylogeny of Wolbachia pipientis based on gltA, groEL and ftsZ gene sequences: clustering of arthropod and nematode symbionts in the F supergroup, and evidence for further diversity in the Wolbachia tree.
Coptotermes acinaciformis		Wolbachia				Casiraghi et al., 2005, Phylogeny of Wolbachia pipientis based on gltA, groEL and ftsZ gene sequences: clustering of arthropod and nematode symbionts in the F supergroup, and evidence for further diversity in the Wolbachia tree.
Kalotermes flavicollis		Wolbachia				Casiraghi et al., 2005, Phylogeny of Wolbachia pipientis based on gltA, groEL and ftsZ gene sequences: clustering of arthropod and nematode symbionts in the F supergroup, and evidence for further diversity in the Wolbachia tree.
Coptotermes lacteus		Wolbachia				Casiraghi et al., 2005, Phylogeny of Wolbachia pipientis based on gltA, groEL and ftsZ gene sequences: clustering of arthropod and nematode symbionts in the F supergroup, and evidence for further diversity in the Wolbachia tree.
Heterotermes sp.		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Nasutitermes takasagoensis		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Microtermes sp.		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Microcerotermes sp.		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Hospitalitermes medioflavus		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Cryptotermes secundus		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Nasutitermes nigriceps		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Serritermes serrifer		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Neotermes luykxi		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
Neotermes jouteli		Wolbachia				Lo & Evans, 2006, Phylogenetic diversity of the intracellular symbiont Wolbachia in termites.
